"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            No health insurance coverage","248,088","±10,179","59,868","±4,092","313,648","±11,778","188,764","±9,021","2,330,776","±26,988","300,710","±9,908","132,278","±6,275","30,848","±3,310","16,078","±2,438","1,249,439","±22,947","612,664","±13,851","36,414","±3,595","114,608","±6,667","624,561","±13,739","356,208","±11,516","118,342","±5,914","146,844","±6,697","242,926","±8,671","277,586","±9,326","59,819","±3,259","228,099","±8,809","116,824","±6,980","488,332","±13,702","192,769","±6,631","166,062","±8,179","303,960","±9,800","65,461","±4,145","79,799","±4,593","190,873","±6,518","60,627","±4,498","351,147","±12,417","120,671","±6,505","731,063","±16,625","578,163","±15,780","23,330","±1,986","525,411","±11,675","243,164","±7,754","269,364","±9,177","482,520","±11,165","49,565","±3,854","275,123","±10,155","34,526","±3,463","334,515","±11,877","1,753,960","±25,471","141,780","±5,836","22,186","±2,413","351,355","±10,111","399,223","±11,626","91,240","±5,448","211,336","±8,170","34,300","±3,875","77,549","±4,819"
"        65 years and over:","59,940","±3,073","9,372","±1,241","94,776","±4,231","48,837","±2,867","465,781","±9,151","76,383","±3,651","67,602","±3,358","14,872","±1,415","9,313","±1,350","340,784","±9,522","105,243","±5,082","25,167","±2,422","22,672","±2,143","186,857","±6,412","106,350","±4,566","69,753","±3,237","53,200","±2,815","59,724","±3,256","56,449","±3,147","30,920","±2,237","93,637","±3,978","122,461","±4,854","141,071","±4,700","100,992","±3,321","38,199","±2,752","98,244","±4,667","23,693","±1,706","40,545","±2,175","37,606","±2,904","29,045","±2,535","138,237","±4,535","28,245","±2,381","271,216","±7,010","146,021","±5,315","16,754","±1,213","191,479","±5,355","56,621","±3,009","65,858","±3,151","236,173","±6,131","15,301","±1,649","67,960","±3,403","19,574","±1,494","87,436","±4,108","293,740","±7,841","31,453","±2,220","17,301","±1,519","122,525","±4,593","93,861","±3,587","23,976","±2,380","103,895","±3,816","8,138","±1,126","20,002","±2,016"
"            With health insurance coverage","59,436","±2,954","9,011","±1,154","93,456","±4,161","48,758","±2,885","453,795","±9,004","75,699","±3,600","67,084","±3,377","14,872","±1,415","9,221","±1,327","336,326","±9,294","102,689","±5,003","24,731","±2,299","22,591","±2,154","184,276","±6,217","106,022","±4,533","69,409","±3,247","52,887","±2,783","59,483","±3,277","55,706","±3,201","30,920","±2,237","91,904","±3,796","122,318","±4,866","140,616","±4,723","100,507","±3,302","37,767","±2,729","97,604","±4,696","23,379","±1,712","40,530","±2,172","36,438","±2,817","28,955","±2,510","136,225","±4,561","27,715","±2,329","267,562","±6,878","145,323","±5,216","16,711","±1,202","190,027","±5,311","56,057","±2,996","64,498","±3,278","234,467","±6,071","15,301","±1,649","67,443","±3,403","19,574","±1,494","86,032","±3,842","287,897","±7,582","31,347","±2,227","17,243","±1,526","121,212","±4,464","92,953","±3,595","23,821","±2,349","103,733","±3,817","8,104","±1,127","19,582","±2,000"
"                With employer-based health insurance","25,761","±2,076","4,219","±737","32,447","±2,531","15,066","±1,449","187,400","±5,772","25,996","±1,815","33,927","±2,641","7,891","±1,173","6,000","±1,103","111,817","±5,500","44,843","±3,678","13,611","±1,598","6,137","±852","78,437","±4,271","42,596","±2,943","22,592","±2,210","17,328","±1,912","27,891","±2,454","23,306","±1,718","14,000","±1,626","53,626","±2,760","64,780","±3,075","72,642","±2,997","32,948","±2,129","13,189","±1,703","34,053","±2,909","7,345","±1,081","11,951","±1,352","15,113","±1,974","13,110","±1,707","70,616","±3,415","12,271","±1,566","142,811","±4,702","59,708","±3,981","5,336","±777","87,466","±4,012","21,449","±2,130","22,833","±2,025","97,679","±4,029","7,113","±1,172","28,141","±2,191","3,972","±872","33,431","±2,626","116,160","±4,811","14,580","±1,776","7,765","±911","54,938","±2,984","39,927","±2,885","11,404","±1,304","37,403","±2,766","2,011","±527","5,168","±1,042"
"                With direct-purchase health insurance","21,776","±2,024","1,481","±634","34,606","±2,674","20,525","±2,162","150,521","±5,826","30,493","±2,470","24,738","±1,941","5,811","±1,070","2,573","±747","120,801","±5,469","35,690","±2,564","8,605","±1,612","11,286","±1,443","79,496","±3,735","48,339","±2,819","39,236","±2,664","26,401","±1,942","26,512","±2,389","20,492","±2,244","12,463","±1,393","30,969","±2,014","48,277","±3,011","57,336","±3,166","57,705","±2,986","13,591","±1,664","41,938","±2,776","10,054","±1,178","22,083","±1,848","10,901","±1,604","11,937","±1,703","49,549","±2,890","8,819","±1,389","89,211","±3,949","63,506","±3,771","9,847","±1,096","70,321","±3,533","24,864","±2,063","30,173","±2,345","112,605","±4,607","5,435","±886","26,957","±2,446","11,539","±1,269","37,492","±2,914","98,679","±4,318","11,947","±1,567","7,111","±1,175","47,307","±3,064","37,377","±2,649","9,573","±1,473","47,832","±2,638","4,019","±796","4,274","±816"
"                With Medicare coverage","58,184","±2,846","8,515","±1,159","92,083","±4,129","48,013","±2,873","433,243","±9,006","74,068","±3,499","64,994","±3,337","14,774","±1,411","8,727","±1,309","327,227","±9,174","99,917","±4,961","22,801","±2,004","22,122","±2,155","178,175","±5,903","102,848","±4,419","68,702","±3,202","51,781","±2,795","57,824","±3,356","53,893","±3,093","29,843","±2,204","89,305","±3,730","116,167","±4,863","138,166","±4,601","98,777","±3,246","37,242","±2,728","95,524","±4,562","22,648","±1,664","40,040","±2,236","34,905","±2,701","28,314","±2,400","131,328","±4,552","27,442","±2,306","256,393","±6,726","143,069","±5,088","16,409","±1,188","185,208","±5,402","55,394","±2,995","63,168","±3,132","228,182","±6,016","14,696","±1,558","66,580","±3,390","19,407","±1,501","83,854","±3,923","281,604","±7,057","30,731","±2,163","17,137","±1,522","118,191","±4,606","89,016","±3,481","23,180","±2,325","102,253","±3,767","7,860","±1,128","18,469","±1,916"
"                With Medicaid/means-tested public coverage","6,633","±1,244","978","±447","7,223","±1,146","4,263","±940","37,624","±2,650","4,292","±879","4,951","±1,085","965","±382","1,236","±463","25,383","±2,583","8,158","±1,256","1,757","±530","1,305","±515","13,374","±1,720","6,060","±1,178","6,167","±1,000","3,694","±702","3,563","±756","5,993","±1,089","3,165","±710","7,245","±1,120","12,915","±1,741","10,937","±1,366","7,841","±1,114","3,812","±853","5,997","±998","2,051","±627","2,919","±676","2,547","±804","1,544","±516","8,097","±1,173","2,780","±936","22,351","±2,081","9,987","±1,438","1,019","±386","10,937","±1,436","3,799","±778","5,511","±946","19,527","±1,869","1,023","±532","5,117","±976","1,896","±529","8,434","±1,478","25,593","±2,236","3,037","±783","1,753","±492","7,467","±1,271","7,371","±1,113","1,307","±396","8,656","±1,055","572","±262","3,948","±962"
"            No health insurance coverage","504","±410","361","±322","1,320","±722","79","±100","11,986","±2,248","684","±409","518","±372","0","±265","92","±153","4,458","±1,050","2,554","±1,020","436","±365","81","±134","2,581","±959","328","±207","344","±246","313","±268","241","±214","743","±407","0","±230","1,733","±1,043","143","±160","455","±296","485","±295","432","±303","640","±455","314","±240","15","±35","1,168","±637","90","±98","2,012","±697","530","±317","3,654","±1,129","698","±500","43","±68","1,452","±595","564","±339","1,360","±546","1,706","±573","0","±291","517","±387","0","±223","1,404","±747","5,843","±1,166","106","±110","58","±84","1,313","±711","908","±457","155","±164","162","±138","34","±56","420","±291"
"    Did not work:","1,334,802","±15,293","114,093","±4,102","1,695,361","±18,190","767,665","±10,663","9,351,193","±42,521","990,707","±13,370","787,210","±9,097","222,218","±5,860","152,793","±5,529","5,619,968","±28,213","2,379,948","±20,673","319,104","±6,118","344,650","±6,638","2,988,792","±21,287","1,529,741","±15,494","589,751","±8,501","566,975","±8,355","1,181,424","±12,730","1,123,984","±13,846","322,020","±6,462","1,200,438","±14,479","1,466,740","±15,170","2,722,986","±19,136","1,007,567","±11,533","828,554","±12,085","1,416,839","±15,596","221,028","±5,490","323,842","±6,255","651,229","±10,250","268,090","±5,597","2,096,182","±14,781","544,447","±8,687","4,987,261","±28,798","2,414,799","±21,864","116,041","±3,450","2,866,040","±19,685","897,773","±10,367","984,341","±13,035","3,231,426","±23,462","262,648","±7,046","1,248,364","±15,521","148,643","±3,948","1,678,044","±15,803","5,456,236","±33,974","514,165","±10,198","127,108","±3,642","1,755,068","±14,464","1,578,206","±15,991","606,551","±8,132","1,185,690","±12,578","102,933","±3,744","1,557,076","±10,454"
"        18 to 64 years:","800,282","±13,799","77,125","±3,799","966,352","±16,970","438,501","±9,821","5,961,894","±42,575","575,934","±12,076","411,713","±9,046","120,994","±5,758","102,498","±5,409","2,957,274","±26,011","1,555,757","±20,665","168,896","±5,678","186,863","±5,650","1,735,010","±19,332","877,620","±13,178","261,621","±7,686","293,021","±7,265","718,020","±11,634","691,759","±14,042","161,634","±5,478","675,884","±14,146","795,488","±15,292","1,598,229","±18,259","492,169","±10,006","524,393","±11,322","763,876","±14,083","112,156","±5,255","152,287","±5,699","393,683","±8,968","136,935","±5,180","1,191,645","±13,980","322,864","±8,644","2,938,360","±26,328","1,434,147","±20,539","49,046","±3,008","1,588,379","±17,823","505,470","±9,945","553,934","±12,323","1,699,649","±20,222","143,990","±6,209","737,032","±14,441","66,424","±3,728","990,318","±14,174","3,441,565","±30,838","318,271","±9,407","63,750","±3,191","1,004,508","±14,132","913,092","±15,296","353,909","±7,861","580,003","±11,186","50,463","±3,264","1,059,661","±10,131"
"            With health insurance coverage","595,574","±12,651","57,198","±3,756","719,987","±14,295","316,289","±8,219","4,128,322","±34,236","429,718","±11,033","335,484","±7,633","102,173","±5,509","90,474","±5,301","1,931,598","±24,202","1,038,703","±17,269","139,137","±5,006","134,739","±5,081","1,249,292","±18,197","649,010","±12,136","211,804","±7,089","217,815","±6,729","535,395","±10,046","498,697","±13,484","139,752","±5,188","532,521","±13,064","736,103","±13,399","1,250,744","±15,903","419,375","±8,968","361,665","±9,902","583,302","±12,893","82,950","±4,959","117,727","±5,246","241,041","±7,424","108,477","±4,377","897,772","±12,249","222,231","±8,081","2,392,281","±26,107","1,018,604","±16,303","40,892","±2,575","1,215,029","±17,157","350,597","±7,994","396,719","±10,153","1,393,993","±18,626","113,027","±4,887","519,736","±11,906","49,003","±3,713","743,393","±12,075","2,145,915","±24,473","241,172","±7,411","58,335","±3,116","763,855","±13,293","694,880","±14,164","273,355","±7,267","474,615","±9,495","37,732","±2,645","958,845","±11,047"
"                With employer-based health insurance","264,186","±8,417","28,075","±2,587","294,175","±9,093","118,446","±6,505","1,882,520","±24,397","207,076","±7,174","176,822","±6,002","50,417","±3,544","35,968","±3,800","844,472","±17,864","528,618","±11,964","68,230","±4,296","61,913","±3,826","647,815","±11,539","322,250","±8,072","98,647","±4,936","106,378","±5,198","209,273","±6,567","206,401","±8,529","47,072","±3,147","291,020","±9,859","324,527","±10,540","633,335","±10,069","200,041","±5,641","127,674","±6,645","255,462","±8,535","35,871","±3,148","51,437","±3,133","128,717","±5,444","57,165","±3,196","526,769","±10,992","93,259","±5,138","1,077,314","±18,555","435,945","±10,152","19,869","±1,710","605,958","±11,996","158,575","±6,489","181,514","±6,849","659,200","±11,761","50,580","±3,600","231,472","±8,618","19,990","±2,272","312,306","±9,251","1,050,823","±19,382","149,351","±5,706","22,113","±1,957","397,768","±10,937","331,744","±9,202","124,727","±5,607","223,992","±6,476","20,406","±1,899","188,853","±7,202"
"                With direct-purchase health insurance","92,069","±4,918","4,898","±1,223","99,704","±5,262","42,881","±3,896","695,677","±16,691","79,628","±5,531","45,952","±3,729","15,425","±1,916","25,089","±3,246","339,187","±12,088","150,848","±6,807","29,143","±2,755","30,801","±2,886","160,621","±7,146","88,370","±4,700","34,903","±2,302","38,262","±3,327","62,723","±4,074","75,553","±5,696","14,577","±1,464","74,113","±4,953","110,094","±6,020","157,733","±6,039","69,754","±3,685","48,965","±3,969","92,723","±6,319","18,119","±2,137","23,837","±2,153","41,690","±3,814","15,247","±2,202","127,334","±5,428","33,154","±3,500","319,869","±10,125","156,493","±5,901","9,259","±1,267","146,692","±6,592","50,011","±3,602","76,318","±5,298","220,286","±8,287","18,089","±2,268","69,695","±3,846","9,846","±1,327","96,374","±5,001","304,782","±7,995","36,965","±2,796","7,130","±1,198","121,565","±5,495","117,995","±6,150","25,235","±2,810","61,149","±3,148","6,567","±1,256","117,551","±6,338"
"                With Medicare coverage","147,476","±6,378","8,085","±1,743","97,138","±5,394","95,858","±4,690","487,026","±12,668","61,480","±4,491","50,249","±4,530","18,126","±2,463","8,430","±1,746","355,165","±10,972","192,004","±9,211","15,506","±1,836","25,829","±2,717","176,464","±6,942","127,227","±5,821","41,059","±3,199","44,684","±3,419","145,577","±5,958","110,208","±5,734","36,441","±2,603","74,148","±4,401","97,437","±5,007","224,277","±6,232","61,804","±3,903","99,554","±5,001","140,046","±5,447","16,362","±2,055","22,494","±2,080","40,825","±3,782","25,117","±2,372","120,521","±4,805","37,519","±3,261","321,248","±9,358","220,861","±7,489","7,474","±1,182","210,510","±7,090","80,565","±4,022","68,546","±4,248","234,058","±6,959","23,791","±2,396","124,900","±6,056","10,748","±1,851","168,601","±6,143","377,007","±10,498","26,013","±2,481","13,943","±1,585","142,724","±5,625","104,830","±5,961","71,172","±5,009","79,051","±4,312","5,682","±1,310","137,406","±5,603"
"                With Medicaid/means-tested public coverage","214,649","±9,723","18,746","±2,274","309,487","±11,425","120,338","±5,627","1,541,060","±25,408","120,071","±7,115","108,261","±5,805","38,461","±3,618","45,934","±3,894","629,442","±14,506","306,378","±11,390","41,800","±4,084","36,391","±2,795","403,266","±12,812","205,157","±9,267","79,690","±4,941","60,848","±4,040","222,603","±8,197","199,848","±7,726","72,892","±4,040","167,278","±7,569","335,995","±9,955","486,123","±12,153","142,153","±6,771","162,145","±7,546","195,459","±8,675","23,832","±3,056","37,669","±3,242","58,914","±4,505","29,206","±2,614","259,689","±8,020","86,850","±5,343","1,077,663","±18,649","342,911","±10,876","10,105","±1,415","409,423","±11,483","105,495","±4,892","124,656","±6,217","535,641","±12,988","48,572","±3,824","182,285","±7,767","17,169","±1,959","290,586","±9,102","689,952","±14,567","55,208","±3,790","28,478","±2,414","163,270","±7,466","223,298","±8,562","109,383","±5,633","191,710","±7,687","8,789","±1,678","613,382","±12,581"
"            No health insurance coverage","204,708","±8,867","19,927","±2,103","246,365","±9,994","122,212","±5,689","1,833,572","±27,171","146,216","±6,800","76,229","±5,169","18,821","±2,692","12,024","±2,027","1,025,676","±21,680","517,054","±17,041","29,759","±3,100","52,124","±4,456","485,718","±12,975","228,610","±8,057","49,817","±3,308","75,206","±4,825","182,625","±7,689","193,062","±8,526","21,882","±2,317","143,363","±5,902","59,385","±5,012","347,485","±10,047","72,794","±4,221","162,728","±7,966","180,574","±7,180","29,206","±2,981","34,560","±3,162","152,642","±7,235","28,458","±3,085","293,873","±10,067","100,633","±6,184","546,079","±15,442","415,543","±12,447","8,154","±1,202","373,350","±10,876","154,873","±5,602","157,215","±6,012","305,656","±10,253","30,963","±3,599","217,296","±8,636","17,421","±2,083","246,925","±10,005","1,295,650","±23,109","77,099","±6,350","5,415","±1,046","240,653","±9,128","218,212","±9,833","80,554","±4,318","105,388","±4,978","12,731","±1,879","100,816","±5,303"
"        65 years and over:","534,520","±4,559","36,968","±1,592","729,009","±6,233","329,164","±4,864","3,389,299","±13,487","414,773","±4,997","375,497","±4,129","101,224","±2,063","50,295","±1,497","2,662,694","±11,035","824,191","±6,740","150,208","±2,656","157,787","±2,746","1,253,782","±7,861","652,121","±5,633","328,130","±3,645","273,954","±3,741","463,404","±4,334","432,225","±5,107","160,386","±2,582","524,554","±5,871","671,252","±5,474","1,124,757","±5,458","515,398","±4,219","304,161","±3,890","652,963","±5,138","108,872","±2,088","171,555","±2,869","257,546","±3,880","131,155","±2,943","904,537","±6,153","221,583","±3,349","2,048,901","±10,082","980,652","±6,711","66,995","±1,472","1,277,661","±9,128","392,303","±3,991","430,407","±4,481","1,531,777","±7,671","118,658","±2,249","511,332","±4,606","82,219","±1,993","687,726","±5,569","2,014,671","±9,836","195,894","±3,138","63,358","±1,697","750,560","±6,366","665,114","±5,342","252,642","±2,822","605,687","±4,594","52,470","±1,441","497,415","±3,000"
"            With health insurance coverage","533,306","±4,624","36,408","±1,650","721,764","±6,052","328,404","±4,942","3,339,044","±13,608","412,936","±4,937","372,174","±4,305","101,029","±2,082","49,646","±1,457","2,627,162","±11,423","816,503","±6,888","148,025","±2,672","157,635","±2,737","1,237,829","±7,894","649,096","±5,760","327,513","±3,622","272,851","±3,798","462,371","±4,301","430,391","±5,258","160,290","±2,601","516,886","±5,741","669,192","±5,420","1,121,660","±5,517","514,025","±4,263","303,619","±3,935","650,352","±5,113","108,818","±2,085","170,988","±2,834","252,440","±3,777","130,485","±2,982","887,112","±6,669","218,970","±3,264","2,029,187","±10,650","975,043","±6,642","66,890","±1,463","1,272,924","±9,041","390,278","±4,117","428,311","±4,534","1,526,030","±7,839","117,593","±2,309","508,463","±4,698","82,041","±1,914","683,896","±5,661","1,971,114","±10,474","194,781","±3,214","63,339","±1,700","743,094","±6,876","660,631","±5,411","252,219","±2,868","603,908","±4,689","52,189","±1,353","494,027","±3,062"
"                With employer-based health insurance","182,170","±5,598","14,406","±1,548","230,629","±6,855","87,052","±4,312","1,031,326","±14,153","144,275","±5,069","146,475","±4,912","50,028","±2,522","26,091","±1,758","767,457","±13,079","264,359","±7,508","75,454","±3,294","45,093","±2,991","438,954","±8,870","236,900","±5,505","91,606","±3,473","72,490","±3,791","164,001","±4,898","134,860","±4,437","49,679","±3,187","250,367","±6,351","256,981","±6,935","569,406","±8,187","153,391","±4,524","72,940","±4,065","207,110","±6,351","32,913","±2,172","39,616","±2,468","80,700","±3,718","50,416","±2,851","344,374","±7,964","76,236","±3,543","785,333","±11,123","312,705","±8,342","15,751","±1,476","540,945","±9,551","125,576","±4,384","134,917","±5,706","520,189","±8,787","33,030","±2,762","174,958","±5,377","16,505","±1,840","208,861","±6,740","610,596","±12,076","75,768","±3,905","21,969","±1,804","290,878","±7,952","221,041","±6,010","112,451","±4,055","203,321","±4,946","17,383","±1,748","62,503","±4,089"
"                With direct-purchase health insurance","188,782","±5,757","7,619","±1,311","265,023","±7,638","132,323","±4,312","945,862","±13,662","168,444","±5,413","149,989","±5,152","33,650","±2,475","15,031","±1,914","952,101","±14,163","276,421","±7,411","47,942","±3,332","77,379","±3,314","521,541","±9,270","301,384","±6,499","193,629","±4,515","148,669","±4,168","180,745","±6,068","143,779","±5,225","67,385","±3,125","183,709","±4,738","261,489","±6,833","453,098","±8,072","293,456","±5,658","116,191","±4,115","279,381","±6,871","53,795","±2,653","92,123","±2,944","72,718","±4,317","58,672","±2,821","331,695","±7,275","67,313","±3,629","608,484","±9,940","396,461","±8,476","39,491","±1,790","469,769","±8,586","158,544","±4,803","206,037","±4,820","727,972","±9,432","50,444","±2,963","190,878","±6,042","46,441","±2,048","273,015","±6,730","637,167","±11,085","78,883","±3,101","26,730","±1,567","284,978","±6,821","284,369","±7,355","79,758","±3,873","298,501","±6,667","23,545","±2,164","70,756","±3,759"
"                With Medicare coverage","529,948","±4,647","36,013","±1,613","712,117","±6,161","326,503","±4,990","3,278,787","±13,426","407,443","±4,830","368,430","±4,524","100,682","±2,089","47,524","±1,478","2,591,360","±11,459","809,055","±7,166","145,891","±2,773","156,413","±2,769","1,223,390","±7,728","645,493","±5,960","326,095","±3,648","271,849","±3,856","459,583","±4,294","424,600","±5,391","158,299","±2,805","504,900","±6,100","656,638","±5,442","1,114,798","±5,511","510,321","±4,272","302,137","±3,953","646,302","±5,281","107,739","±2,151","169,862","±2,835","249,322","±3,923","129,226","±3,026","876,602","±6,713","216,117","±3,361","2,005,923","±10,716","968,793","±6,640","66,677","±1,485","1,263,994","±9,093","387,443","±4,294","424,285","±4,641","1,514,776","±8,054","116,579","±2,284","505,226","±4,841","81,633","±1,951","678,856","±5,778","1,949,965","±10,617","192,670","±3,106","62,502","±1,690","735,426","±6,904","653,564","±5,610","250,295","±2,919","600,324","±4,599","51,591","±1,343","485,111","±3,365"
"                With Medicaid/means-tested public coverage","93,422","±3,852","9,042","±1,366","96,567","±4,730","55,952","±3,037","788,999","±11,293","61,090","±3,270","51,188","±3,683","12,417","±1,620","12,748","±1,379","404,093","±10,313","143,296","±5,474","23,400","±2,711","19,128","±1,956","167,781","±6,024","68,879","±3,663","46,192","±2,735","35,956","±2,638","82,361","±3,760","87,194","±3,908","36,497","±2,476","77,669","±4,041","137,543","±4,841","148,670","±6,146","64,858","±3,464","71,754","±3,456","83,741","±3,837","10,747","±1,533","22,640","±2,072","34,510","±3,259","12,631","±1,647","125,735","±6,278","37,433","±3,104","431,051","±9,257","145,574","±5,871","8,140","±1,099","155,239","±5,015","58,323","±3,455","59,792","±3,526","223,595","±6,259","17,813","±2,137","77,497","±3,894","11,977","±1,515","117,272","±4,485","370,065","±9,253","24,432","±2,035","10,907","±1,181","92,262","±4,324","103,670","±4,629","35,959","±2,722","80,475","±4,068","6,642","±1,205","181,056","±5,120"
"            No health insurance coverage","1,214","±773","560","±377","7,245","±1,907","760","±529","50,255","±4,105","1,837","±713","3,323","±910","195","±175","649","±515","35,532","±3,852","7,688","±1,757","2,183","±973","152","±178","15,953","±2,055","3,025","±992","617","±359","1,103","±573","1,033","±550","1,834","±670","96","±97","7,668","±1,523","2,060","±852","3,097","±785","1,373","±548","542","±320","2,611","±777","54","±55","567","±475","5,106","±1,900","670","±409","17,425","±2,818","2,613","±801","19,714","±2,964","5,609","±1,533","105","±110","4,737","±1,371","2,025","±867","2,096","±789","5,747","±1,511","1,065","±666","2,869","±831","178","±295","3,830","±1,121","43,557","±4,046","1,113","±487","19","±26","7,466","±1,427","4,483","±1,009","423","±247","1,779","±705","281","±409","3,388","±833"
